시설명,장비명,설치위치,측정상태,방식전위,방식전류,AC유입,배터리,온도,습도,통신상태,최근 갱신일시
A구역 가스기지,RTU-01,지하 매설구간,정상,-964.7mV,2mA,319.8mV,"3,563.1mV",16.7℃,5.4%,정상,2026-03-28 05:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-963.3mV,2mA,320.9mV,"3,563.1mV",16.5℃,5.5%,정상,2026-03-28 05:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-962.0mV,2mA,319.0mV,"3,563.0mV",16.3℃,5.5%,정상,2026-03-28 05:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-960.7mV,2mA,319.5mV,"3,562.9mV",16.1℃,5.5%,정상,2026-03-28 05:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-958.8mV,2mA,319.9mV,"3,562.9mV",16.0℃,5.4%,정상,2026-03-28 05:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-958.2mV,2mA,320.2mV,"3,562.8mV",15.7℃,5.6%,정상,2026-03-28 05:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-957.1mV,2mA,319.8mV,"3,562.8mV",15.5℃,5.6%,정상,2026-03-28 06:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-956.1mV,2mA,320.5mV,"3,562.8mV",15.4℃,5.5%,정상,2026-03-28 06:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-954.8mV,2mA,319.4mV,"3,562.7mV",15.2℃,5.6%,정상,2026-03-28 06:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-954.3mV,2mA,319.4mV,"3,562.7mV",15.0℃,5.6%,정상,2026-03-28 06:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-953.1mV,2mA,319.7mV,"3,562.6mV",14.8℃,5.4%,정상,2026-03-28 06:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.7mV,2mA,320.2mV,"3,562.6mV",14.5℃,5.5%,정상,2026-03-28 06:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-951.9mV,2mA,320.9mV,"3,562.5mV",14.4℃,5.6%,정상,2026-03-28 07:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.8mV,2mA,320.7mV,"3,562.4mV",14.3℃,5.5%,정상,2026-03-28 07:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.5mV,2mA,320.0mV,"3,562.4mV",14.0℃,5.4%,정상,2026-03-28 07:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.6mV,2mA,319.5mV,"3,562.3mV",13.8℃,5.4%,정상,2026-03-28 07:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.5mV,2mA,320.9mV,"3,562.3mV",13.6℃,5.4%,정상,2026-03-28 07:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.0mV,2mA,319.4mV,"3,562.2mV",13.3℃,5.6%,정상,2026-03-28 07:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-949.5mV,2mA,320.2mV,"3,562.2mV",13.1℃,5.5%,정상,2026-03-28 08:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.2mV,2mA,319.3mV,"3,562.2mV",12.8℃,5.4%,정상,2026-03-28 08:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.5mV,2mA,319.6mV,"3,562.1mV",12.7℃,5.6%,정상,2026-03-28 08:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.0mV,2mA,319.1mV,"3,562.1mV",12.4℃,5.5%,정상,2026-03-28 08:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.8mV,2mA,320.2mV,"3,562.0mV",12.3℃,5.5%,정상,2026-03-28 08:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-951.1mV,2mA,319.3mV,"3,561.9mV",12.0℃,5.5%,정상,2026-03-28 08:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.2mV,2mA,320.0mV,"3,561.9mV",11.9℃,5.4%,정상,2026-03-28 09:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.4mV,2mA,319.1mV,"3,561.8mV",11.6℃,5.6%,정상,2026-03-28 09:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.8mV,2mA,320.9mV,"3,561.8mV",11.4℃,5.6%,정상,2026-03-28 09:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-953.6mV,2mA,320.7mV,"3,561.8mV",11.2℃,5.5%,정상,2026-03-28 09:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-954.4mV,2mA,319.6mV,"3,561.7mV",11.0℃,5.5%,정상,2026-03-28 09:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-955.2mV,2mA,320.5mV,"3,561.7mV",10.8℃,5.5%,정상,2026-03-28 09:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-956.2mV,2mA,320.5mV,"3,561.6mV",10.5℃,5.6%,정상,2026-03-28 10:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-958.0mV,2mA,320.4mV,"3,561.6mV",10.5℃,5.5%,정상,2026-03-28 10:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-959.2mV,2mA,319.8mV,"3,561.5mV",10.3℃,5.6%,정상,2026-03-28 10:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-960.6mV,2mA,320.5mV,"3,561.4mV",10.1℃,5.5%,정상,2026-03-28 10:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-962.1mV,2mA,320.1mV,"3,561.4mV",9.9℃,5.4%,정상,2026-03-28 10:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-963.5mV,2mA,319.7mV,"3,561.3mV",9.7℃,5.5%,정상,2026-03-28 10:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-964.3mV,2mA,320.4mV,"3,561.3mV",9.5℃,5.5%,정상,2026-03-28 11:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-966.4mV,2mA,319.6mV,"3,561.2mV",9.3℃,5.4%,정상,2026-03-28 11:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-967.9mV,2mA,320.2mV,"3,561.2mV",9.3℃,5.5%,정상,2026-03-28 11:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-969.7mV,2mA,319.7mV,"3,561.2mV",9.1℃,5.5%,정상,2026-03-28 11:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-970.9mV,2mA,320.8mV,"3,561.1mV",9.0℃,5.6%,정상,2026-03-28 11:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-972.7mV,2mA,319.0mV,"3,561.1mV",8.9℃,5.6%,정상,2026-03-28 11:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-975.3mV,2mA,319.8mV,"3,561.0mV",8.8℃,5.5%,정상,2026-03-28 12:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-977.2mV,2mA,319.5mV,"3,560.9mV",8.6℃,5.6%,정상,2026-03-28 12:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-979.3mV,2mA,320.7mV,"3,560.9mV",8.5℃,5.5%,정상,2026-03-28 12:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-980.5mV,2mA,320.8mV,"3,560.8mV",8.5℃,5.6%,정상,2026-03-28 12:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-983.2mV,2mA,319.7mV,"3,560.8mV",8.4℃,5.4%,정상,2026-03-28 12:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-985.1mV,2mA,320.6mV,"3,560.8mV",8.3℃,5.5%,정상,2026-03-28 12:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-987.5mV,2mA,320.2mV,"3,560.7mV",8.3℃,5.6%,정상,2026-03-28 13:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-989.5mV,2mA,320.0mV,"3,560.7mV",8.2℃,5.4%,정상,2026-03-28 13:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-991.7mV,2mA,320.8mV,"3,560.6mV",8.2℃,5.4%,정상,2026-03-28 13:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-993.4mV,2mA,320.9mV,"3,560.6mV",8.2℃,5.4%,정상,2026-03-28 13:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-995.5mV,2mA,320.8mV,"3,560.5mV",8.1℃,5.4%,정상,2026-03-28 13:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-997.8mV,2mA,319.1mV,"3,560.4mV",8.0℃,5.6%,정상,2026-03-28 13:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,000.4mV",2mA,320.7mV,"3,560.4mV",8.1℃,5.5%,정상,2026-03-28 14:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,001.7mV",2mA,319.3mV,"3,560.3mV",8.2℃,5.4%,정상,2026-03-28 14:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,004.5mV",2mA,319.7mV,"3,560.3mV",8.1℃,5.6%,정상,2026-03-28 14:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,006.2mV",2mA,319.1mV,"3,560.2mV",8.1℃,5.6%,정상,2026-03-28 14:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,009.1mV",2mA,319.2mV,"3,560.2mV",8.1℃,5.5%,정상,2026-03-28 14:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,010.9mV",2mA,320.4mV,"3,560.2mV",8.3℃,5.5%,정상,2026-03-28 14:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,012.8mV",2mA,319.6mV,"3,560.1mV",8.2℃,5.6%,정상,2026-03-28 15:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,015.1mV",2mA,319.5mV,"3,560.1mV",8.2℃,5.5%,정상,2026-03-28 15:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,016.7mV",2mA,320.4mV,"3,560.0mV",8.5℃,5.5%,정상,2026-03-28 15:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,018.9mV",2mA,319.4mV,"3,559.9mV",8.4℃,5.5%,정상,2026-03-28 15:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,020.7mV",2mA,319.3mV,"3,559.9mV",8.6℃,5.4%,정상,2026-03-28 15:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,022.9mV",2mA,320.4mV,"3,559.8mV",8.6℃,5.4%,정상,2026-03-28 15:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,025.0mV",2mA,321.0mV,"3,559.8mV",8.7℃,5.5%,정상,2026-03-28 16:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,027.2mV",2mA,319.7mV,"3,559.8mV",8.9℃,5.4%,정상,2026-03-28 16:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,028.9mV",2mA,319.3mV,"3,559.7mV",8.9℃,5.4%,정상,2026-03-28 16:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,030.0mV",2mA,319.0mV,"3,559.7mV",9.2℃,5.5%,정상,2026-03-28 16:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,032.0mV",2mA,319.6mV,"3,559.6mV",9.2℃,5.5%,정상,2026-03-28 16:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,033.6mV",2mA,320.6mV,"3,559.6mV",9.4℃,5.5%,정상,2026-03-28 16:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,035.7mV",2mA,321.0mV,"3,559.5mV",9.6℃,5.5%,정상,2026-03-28 17:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,037.0mV",2mA,319.1mV,"3,559.4mV",9.8℃,5.6%,정상,2026-03-28 17:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,038.4mV",2mA,319.1mV,"3,559.4mV",9.8℃,5.6%,정상,2026-03-28 17:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,040.0mV",2mA,320.2mV,"3,559.3mV",10.0℃,5.4%,정상,2026-03-28 17:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,040.9mV",2mA,320.2mV,"3,559.3mV",10.3℃,5.4%,정상,2026-03-28 17:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,041.7mV",2mA,319.4mV,"3,559.2mV",10.4℃,5.5%,정상,2026-03-28 17:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,042.8mV",2mA,320.4mV,"3,559.2mV",10.6℃,5.5%,정상,2026-03-28 18:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,044.5mV",2mA,320.7mV,"3,559.2mV",10.8℃,5.5%,정상,2026-03-28 18:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.6mV",2mA,320.6mV,"3,559.1mV",11.1℃,5.6%,정상,2026-03-28 18:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.8mV",2mA,320.6mV,"3,559.1mV",11.2℃,5.5%,정상,2026-03-28 18:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,046.7mV",2mA,320.4mV,"3,559.0mV",11.4℃,5.5%,정상,2026-03-28 18:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,047.9mV",2mA,319.2mV,"3,558.9mV",11.5℃,5.4%,정상,2026-03-28 18:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,048.7mV",2mA,319.4mV,"3,558.9mV",11.8℃,5.6%,정상,2026-03-28 19:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.2mV",2mA,320.8mV,"3,558.8mV",12.1℃,5.5%,정상,2026-03-28 19:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.3mV",2mA,321.0mV,"3,558.8mV",12.1℃,5.4%,정상,2026-03-28 19:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.1mV",2mA,319.6mV,"3,558.8mV",12.5℃,5.5%,정상,2026-03-28 19:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.9mV",2mA,319.2mV,"3,558.7mV",12.7℃,5.5%,정상,2026-03-28 19:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,050.0mV",2mA,319.8mV,"3,558.7mV",13.0℃,5.4%,정상,2026-03-28 19:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,050.2mV",2mA,319.2mV,"3,558.6mV",13.0℃,5.5%,정상,2026-03-28 20:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.7mV",2mA,319.9mV,"3,558.6mV",13.2℃,5.5%,정상,2026-03-28 20:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.4mV",2mA,319.5mV,"3,558.5mV",13.6℃,5.5%,정상,2026-03-28 20:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.8mV",2mA,320.7mV,"3,558.4mV",13.8℃,5.6%,정상,2026-03-28 20:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,049.2mV",2mA,319.7mV,"3,558.4mV",13.9℃,5.5%,정상,2026-03-28 20:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,048.9mV",2mA,319.5mV,"3,558.3mV",14.1℃,5.5%,정상,2026-03-28 20:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,048.6mV",2mA,319.1mV,"3,558.3mV",14.5℃,5.5%,정상,2026-03-28 21:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,047.8mV",2mA,321.0mV,"3,558.2mV",14.6℃,5.5%,정상,2026-03-28 21:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,047.4mV",2mA,319.6mV,"3,558.2mV",14.8℃,5.6%,정상,2026-03-28 21:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.9mV",2mA,320.8mV,"3,558.2mV",15.1℃,5.5%,정상,2026-03-28 21:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,045.4mV",2mA,320.0mV,"3,558.1mV",15.3℃,5.6%,정상,2026-03-28 21:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,044.3mV",2mA,319.4mV,"3,558.1mV",15.5℃,5.6%,정상,2026-03-28 21:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,043.1mV",2mA,320.4mV,"3,558.0mV",15.6℃,5.6%,정상,2026-03-28 22:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,042.0mV",2mA,319.0mV,"3,557.9mV",15.7℃,5.4%,정상,2026-03-28 22:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,041.1mV",2mA,319.7mV,"3,557.9mV",15.9℃,5.5%,정상,2026-03-28 22:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,039.9mV",2mA,320.3mV,"3,557.8mV",16.1℃,5.5%,정상,2026-03-28 22:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,038.1mV",2mA,319.3mV,"3,557.8mV",16.3℃,5.4%,정상,2026-03-28 22:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,036.9mV",2mA,320.5mV,"3,557.8mV",16.6℃,5.6%,정상,2026-03-28 22:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,035.1mV",2mA,320.9mV,"3,557.7mV",16.7℃,5.4%,정상,2026-03-28 23:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,033.8mV",2mA,320.4mV,"3,557.7mV",16.8℃,5.6%,정상,2026-03-28 23:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,032.3mV",2mA,319.6mV,"3,557.6mV",17.0℃,5.4%,정상,2026-03-28 23:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,030.6mV",2mA,319.8mV,"3,557.6mV",17.1℃,5.5%,정상,2026-03-28 23:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,028.9mV",2mA,320.9mV,"3,557.5mV",17.2℃,5.5%,정상,2026-03-28 23:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,026.7mV",2mA,320.3mV,"3,557.4mV",17.4℃,5.5%,정상,2026-03-28 23:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,024.8mV",2mA,319.9mV,"3,557.4mV",17.4℃,5.5%,정상,2026-03-29 00:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,023.1mV",2mA,319.8mV,"3,557.3mV",17.5℃,5.5%,정상,2026-03-29 00:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,020.9mV",2mA,319.6mV,"3,557.3mV",17.6℃,5.6%,정상,2026-03-29 00:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,019.1mV",2mA,319.5mV,"3,557.2mV",17.8℃,5.4%,정상,2026-03-29 00:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,016.9mV",2mA,320.7mV,"3,557.2mV",17.8℃,5.6%,정상,2026-03-29 00:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,014.6mV",2mA,320.4mV,"3,557.2mV",17.8℃,5.4%,정상,2026-03-29 00:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,012.6mV",2mA,321.0mV,"3,557.1mV",17.8℃,5.5%,정상,2026-03-29 01:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,010.4mV",2mA,320.9mV,"3,557.1mV",18.0℃,5.5%,정상,2026-03-29 01:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,008.2mV",2mA,320.2mV,"3,557.0mV",18.1℃,5.5%,정상,2026-03-29 01:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,007.0mV",2mA,320.5mV,"3,556.9mV",18.0℃,5.5%,정상,2026-03-29 01:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,004.2mV",2mA,320.0mV,"3,556.9mV",18.0℃,5.5%,정상,2026-03-29 01:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,002.0mV",2mA,320.0mV,"3,556.8mV",18.0℃,5.6%,정상,2026-03-29 01:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,"-1,000.1mV",2mA,320.5mV,"3,556.8mV",18.1℃,5.4%,정상,2026-03-29 02:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-998.2mV,2mA,320.7mV,"3,556.8mV",18.1℃,5.5%,정상,2026-03-29 02:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-995.9mV,2mA,320.1mV,"3,556.7mV",18.1℃,5.6%,정상,2026-03-29 02:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-993.6mV,2mA,319.0mV,"3,556.7mV",18.0℃,5.4%,정상,2026-03-29 02:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-991.3mV,2mA,320.7mV,"3,556.6mV",18.0℃,5.5%,정상,2026-03-29 02:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-988.8mV,2mA,320.4mV,"3,556.6mV",18.0℃,5.6%,정상,2026-03-29 02:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-987.1mV,2mA,319.1mV,"3,556.5mV",18.0℃,5.5%,정상,2026-03-29 03:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-985.1mV,2mA,320.9mV,"3,556.4mV",17.8℃,5.4%,정상,2026-03-29 03:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-982.9mV,2mA,320.1mV,"3,556.4mV",17.9℃,5.5%,정상,2026-03-29 03:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-980.6mV,2mA,320.2mV,"3,556.3mV",17.7℃,5.5%,정상,2026-03-29 03:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-979.0mV,2mA,320.1mV,"3,556.3mV",17.5℃,5.5%,정상,2026-03-29 03:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-977.0mV,2mA,319.5mV,"3,556.2mV",17.6℃,5.5%,정상,2026-03-29 03:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-975.4mV,2mA,319.2mV,"3,556.2mV",17.4℃,5.5%,정상,2026-03-29 04:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-973.0mV,2mA,320.7mV,"3,556.2mV",17.3℃,5.6%,정상,2026-03-29 04:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-971.2mV,2mA,319.5mV,"3,556.1mV",17.2℃,5.6%,정상,2026-03-29 04:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-969.6mV,2mA,320.5mV,"3,556.1mV",17.0℃,5.5%,정상,2026-03-29 04:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-967.6mV,2mA,320.1mV,"3,556.0mV",16.9℃,5.5%,정상,2026-03-29 04:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-966.5mV,2mA,320.2mV,"3,555.9mV",16.8℃,5.5%,정상,2026-03-29 04:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-964.2mV,2mA,320.9mV,"3,555.9mV",16.7℃,5.5%,정상,2026-03-29 05:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-963.0mV,2mA,321.0mV,"3,555.8mV",16.4℃,5.6%,정상,2026-03-29 05:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-961.5mV,2mA,320.1mV,"3,555.8mV",16.2℃,5.5%,정상,2026-03-29 05:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-960.1mV,2mA,319.9mV,"3,555.8mV",16.2℃,5.6%,정상,2026-03-29 05:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-959.3mV,2mA,320.6mV,"3,555.7mV",16.1℃,5.5%,정상,2026-03-29 05:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-958.0mV,2mA,320.6mV,"3,555.7mV",15.8℃,5.5%,정상,2026-03-29 05:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-956.4mV,2mA,320.7mV,"3,555.6mV",15.5℃,5.4%,정상,2026-03-29 06:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-955.2mV,2mA,319.6mV,"3,555.6mV",15.4℃,5.6%,정상,2026-03-29 06:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-954.7mV,2mA,319.5mV,"3,555.5mV",15.3℃,5.4%,정상,2026-03-29 06:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-953.7mV,2mA,320.6mV,"3,555.4mV",15.1℃,5.5%,정상,2026-03-29 06:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.9mV,2mA,319.5mV,"3,555.4mV",14.8℃,5.6%,정상,2026-03-29 06:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-951.9mV,2mA,320.3mV,"3,555.3mV",14.7℃,5.6%,정상,2026-03-29 06:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-951.4mV,2mA,319.4mV,"3,555.3mV",14.4℃,5.6%,정상,2026-03-29 07:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.8mV,2mA,319.5mV,"3,555.2mV",14.3℃,5.4%,정상,2026-03-29 07:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.9mV,2mA,319.8mV,"3,555.2mV",14.0℃,5.4%,정상,2026-03-29 07:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-949.9mV,2mA,320.4mV,"3,555.2mV",13.7℃,5.5%,정상,2026-03-29 07:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.2mV,2mA,319.5mV,"3,555.1mV",13.5℃,5.5%,정상,2026-03-29 07:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.5mV,2mA,320.1mV,"3,555.1mV",13.2℃,5.5%,정상,2026-03-29 07:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.2mV,2mA,320.7mV,"3,555.0mV",13.1℃,5.4%,정상,2026-03-29 08:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.1mV,2mA,320.6mV,"3,554.9mV",13.0℃,5.5%,정상,2026-03-29 08:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.1mV,2mA,319.2mV,"3,554.9mV",12.7℃,5.6%,정상,2026-03-29 08:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.6mV,2mA,320.0mV,"3,554.8mV",12.3℃,5.4%,정상,2026-03-29 08:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-951.2mV,2mA,320.9mV,"3,554.8mV",12.1℃,5.4%,정상,2026-03-29 08:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-951.0mV,2mA,319.8mV,"3,554.8mV",12.1℃,5.6%,정상,2026-03-29 08:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-951.7mV,2mA,319.6mV,"3,554.7mV",11.8℃,5.6%,정상,2026-03-29 09:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.8mV,2mA,321.0mV,"3,554.7mV",11.7℃,5.5%,정상,2026-03-29 09:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.9mV,2mA,319.9mV,"3,554.6mV",11.3℃,5.4%,정상,2026-03-29 09:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-954.1mV,2mA,319.6mV,"3,554.6mV",11.3℃,5.4%,정상,2026-03-29 09:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-954.4mV,2mA,320.3mV,"3,554.5mV",11.0℃,5.5%,정상,2026-03-29 09:40:00
